team,team_code,shirt_no,position,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,caps,goals,source_status,parser_confidence
Czech Republic,CZE,16,GK,Jindřich Staněk,Jindřich,Staněk,STANĚK,"April 27, 1996",Slavia Prague,,14,0,cross_checked,high
Czech Republic,CZE,17,MF,Lukáš Provod,Lukáš,Provod,PROVOD,"October 23, 1996",Slavia Prague,,38,3,cross_checked,high
Czech Republic,CZE,18,MF,Michal Sadílek,Michal,Sadílek,SADÍLEK,"May 31, 1999",Slavia Prague,,35,1,cross_checked,high
Czech Republic,CZE,19,FW,Tomáš Chorý,Tomáš,Chorý,CHORÝ,"January 26, 1995",Slavia Prague,,22,7,cross_checked,high
Czech Republic,CZE,20,DF,Jaroslav Zelený,Jaroslav,Zelený,ZELENÝ,"August 20, 1992",Sparta Prague,,23,0,cross_checked,high
Czech Republic,CZE,21,DF,David Douděra,David,Douděra,DOUDĚRA,"May 31, 1998",Slavia Prague,,17,2,cross_checked,high
Czech Republic,CZE,22,MF,Tomáš Souček,Tomáš,Souček,SOUČEK,"February 27, 1995",West Ham United,,90,17,cross_checked,high
Czech Republic,CZE,23,GK,Lukáš Horníček,Lukáš,Horníček,HORNÍČEK,"July 13, 2002",Braga,,1,0,cross_checked,high
Czech Republic,CZE,24,MF,Alexandr Sojka,Alexandr,Sojka,SOJKA,"April 2, 2003",Viktoria Plzeň,,2,0,cross_checked,high
Czech Republic,CZE,25,MF,Hugo Sochůrek,Hugo,Sochůrek,SOCHŮREK,"June 7, 2008",Sparta Prague,,1,0,cross_checked,high
Czech Republic,CZE,26,FW,Denis Višinský,Denis,Višinský,VIŠINSKÝ,"March 21, 2003",Viktoria Plzeň,,2,1,cross_checked,high
Mexico,MEX,1,GK,Raúl Rangel,Raúl,Rangel,RANGEL,"February 25, 2000",Guadalajara,,14,0,cross_checked,high
Mexico,MEX,2,DF,Jorge Sánchez,Jorge,Sánchez,SÁNCHEZ,"December 10, 1997",PAOK,,59,3,cross_checked,high
Mexico,MEX,3,DF,César Montes,César,Montes,MONTES,"February 24, 1997",Lokomotiv Moscow,,67,4,cross_checked,high
Mexico,MEX,4,DF,Edson Álvarez,Edson,Álvarez,ÁLVAREZ,"October 24, 1997",Fenerbahçe,,98,7,cross_checked,high
Mexico,MEX,5,DF,Johan Vásquez,Johan,Vásquez,VÁSQUEZ,"October 22, 1998",Genoa,,46,3,cross_checked,high
Mexico,MEX,6,MF,Érik Lira,Érik,Lira,LIRA,"May 8, 2000",Cruz Azul,,25,0,cross_checked,high
Mexico,MEX,7,MF,Luis Romo,Luis,Romo,ROMO,"June 5, 1995",Guadalajara,,63,4,cross_checked,high
Mexico,MEX,8,MF,Álvaro Fidalgo,Álvaro,Fidalgo,FIDALGO,"April 9, 1997",Real Betis,,4,0,cross_checked,high
Mexico,MEX,9,FW,Raúl Jiménez,Raúl,Jiménez,JIMÉNEZ,"May 5, 1991",Fulham,,124,45,cross_checked,high
Mexico,MEX,10,FW,Alexis Vega,Alexis,Vega,VEGA,"November 25, 1997",Toluca,,52,7,cross_checked,high
Mexico,MEX,11,FW,Santiago Giménez,Santiago,Giménez,GIMÉNEZ,"April 18, 2001",AC Milan,,47,6,cross_checked,high
Mexico,MEX,12,GK,Carlos Acevedo,Carlos,Acevedo,ACEVEDO,"April 19, 1996",Santos Laguna,,7,0,cross_checked,high
Mexico,MEX,13,GK,Guillermo Ochoa,Guillermo,Ochoa,OCHOA,"July 13, 1985",AEL Limassol,,152,0,cross_checked,high
Mexico,MEX,14,FW,Armando González,Armando,González,GONZÁLEZ,"April 20, 2003",Guadalajara,,7,1,cross_checked,high
Mexico,MEX,15,DF,Israel Reyes,Israel,Reyes,REYES,"May 23, 2000",América,,34,2,cross_checked,high
Mexico,MEX,16,FW,Julián Quiñones,Julián,Quiñones,QUIÑONES,"March 24, 1997",Al-Qadsiah,,22,2,cross_checked,high
Mexico,MEX,17,MF,Orbelín Pineda,Orbelín,Pineda,PINEDA,"March 24, 1996",AEK Athens,,92,12,cross_checked,high
Mexico,MEX,18,MF,Obed Vargas,Obed,Vargas,VARGAS,"August 5, 2005",Atlético Madrid,,6,0,cross_checked,high
Mexico,MEX,19,MF,Gilberto Mora,Gilberto,Mora,MORA,"October 14, 2008",Tijuana,,8,0,cross_checked,high
Mexico,MEX,20,DF,Mateo Chávez,Mateo,Chávez,CHÁVEZ,"May 12, 2004",AZ,,10,0,cross_checked,high
Mexico,MEX,21,FW,César Huerta,César,Huerta,HUERTA,"December 3, 2000",Anderlecht,,26,3,cross_checked,high
Mexico,MEX,22,FW,Guillermo Martínez,Guillermo,Martínez,MARTÍNEZ,"March 15, 1995",Pumas,,12,3,cross_checked,high
Mexico,MEX,23,DF,Jesús Gallardo,Jesús,Gallardo,GALLARDO,"August 15, 1994",Toluca,,121,3,cross_checked,high
Mexico,MEX,24,MF,Luis Chávez,Luis,Chávez,CHÁVEZ,"January 15, 1996",Dynamo Moscow,,45,5,cross_checked,high
Mexico,MEX,25,FW,Roberto Alvarado,Roberto,Alvarado,ALVARADO,"September 7, 1998",Guadalajara,,67,5,cross_checked,high
Mexico,MEX,26,MF,Brian Gutiérrez,Brian,Gutiérrez,GUTIÉRREZ,"June 17, 2003",Guadalajara,,7,2,cross_checked,high
South Africa,RSA,1,GK,Ronwen Williams,Ronwen,Williams,WILLIAMS,"January 21, 1992",Mamelodi Sundowns,,62,0,cross_checked,high
South Africa,RSA,2,DF,Thabang Matuludi,Thabang,Matuludi,MATULUDI,"January 14, 1999",Polokwane City,,3,0,cross_checked,high
South Africa,RSA,3,DF,Khulumani Ndamane,Khulumani,Ndamane,NDAMANE,"February 5, 2004",Mamelodi Sundowns,,5,0,cross_checked,high
South Africa,RSA,4,MF,Teboho Mokoena,Teboho,Mokoena,MOKOENA,"January 24, 1997",Mamelodi Sundowns,,51,9,cross_checked,high
South Africa,RSA,5,MF,Thalente Mbatha,Thalente,Mbatha,MBATHA,"March 6, 2000",Orlando Pirates,,15,3,cross_checked,high
South Africa,RSA,6,DF,Aubrey Modiba,Aubrey,Modiba,MODIBA,"July 22, 1995",Mamelodi Sundowns,,44,3,cross_checked,high
South Africa,RSA,7,FW,Oswin Appollis,Oswin,Appollis,APPOLLIS,"August 25, 2001",Orlando Pirates,,26,8,cross_checked,high
South Africa,RSA,8,FW,Tshepang Moremi,Tshepang,Moremi,MOREMI,"October 2, 2000",Orlando Pirates,,10,1,cross_checked,high
South Africa,RSA,9,FW,Lyle Foster,Lyle,Foster,FOSTER,"September 3, 2000",Burnley,,27,10,cross_checked,high
South Africa,RSA,10,FW,Relebohile Mofokeng,Relebohile,Mofokeng,MOFOKENG,"October 23, 2004",Orlando Pirates,,13,0,cross_checked,high
South Africa,RSA,11,MF,Themba Zwane,Themba,Zwane,ZWANE,"August 3, 1989",Mamelodi Sundowns,,54,12,cross_checked,high
South Africa,RSA,12,FW,Thapelo Maseko,Thapelo,Maseko,MASEKO,"November 11, 2003",AEL Limassol,,10,1,cross_checked,high
South Africa,RSA,13,MF,Sphephelo Sithole,Sphephelo,Sithole,SITHOLE,"March 3, 1999",Tondela,,28,1,cross_checked,high
South Africa,RSA,14,DF,Mbekezeli Mbokazi,Mbekezeli,Mbokazi,MBOKAZI,"September 19, 2005",Chicago Fire FC,,10,1,cross_checked,high
South Africa,RSA,15,FW,Iqraam Rayners,Iqraam,Rayners,RAYNERS,"December 19, 1995",Mamelodi Sundowns,,14,4,cross_checked,high
South Africa,RSA,16,GK,Sipho Chaine,Sipho,Chaine,CHAINE,"December 14, 1996",Orlando Pirates,,4,0,cross_checked,high
South Africa,RSA,17,FW,Evidence Makgopa,Evidence,Makgopa,MAKGOPA,"June 5, 2000",Orlando Pirates,,26,6,cross_checked,high
South Africa,RSA,18,DF,Samukele Kabini,Samukele,Kabini,KABINI,"March 15, 2004",Molde,,6,0,cross_checked,high
South Africa,RSA,19,DF,Nkosinathi Sibisi,Nkosinathi,Sibisi,SIBISI,"September 22, 1995",Orlando Pirates,,20,0,cross_checked,high
South Africa,RSA,20,DF,Khuliso Mudau,Khuliso,Mudau,MUDAU,"April 26, 1995",Mamelodi Sundowns,,32,1,cross_checked,high
South Africa,RSA,21,DF,Ime Okon,Ime,Okon,OKON,"February 20, 2004",Hannover 96,,8,1,cross_checked,high
South Africa,RSA,22,GK,Ricardo Goss,Ricardo,Goss,GOSS,"April 2, 1994",Siwelele,,5,0,cross_checked,high
South Africa,RSA,23,MF,Jayden Adams,Jayden,Adams,ADAMS,"May 5, 2001",Mamelodi Sundowns,,5,0,cross_checked,high
South Africa,RSA,24,DF,Olwethu Makhanya,Olwethu,Makhanya,MAKHANYA,"April 30, 2004",Philadelphia Union,,1,0,cross_checked,high
South Africa,RSA,25,FW,Kamogelo Sebelebele,Kamogelo,Sebelebele,SEBELEBELE,"July 21, 2002",Orlando Pirates,,3,0,cross_checked,high
South Africa,RSA,26,DF,Bradley Cross,Bradley,Cross,CROSS,"January 30, 2001",Kaizer Chiefs,,1,0,cross_checked,high
Korea Republic,KOR,1,GK,Kim Seung-gyu,Kim,Seung-gyu,SEUNG-GYU,"September 30, 1990",FC Tokyo,,87,0,cross_checked,high
Korea Republic,KOR,2,DF,Lee Han-beom,Lee,Han-beom,HAN-BEOM,"June 17, 2002",Midtjylland,,8,0,cross_checked,high
Korea Republic,KOR,3,MF,Lee Gi-hyuk,Lee,Gi-hyuk,GI-HYUK,"July 7, 2000",Gangwon FC,,3,0,cross_checked,high
Korea Republic,KOR,4,DF,Kim Min-jae,Kim,Min-jae,MIN-JAE,"November 15, 1996",Bayern Munich,,79,4,cross_checked,high
Korea Republic,KOR,5,DF,Kim Tae-hyeon,Kim,Tae-hyeon,TAE-HYEON,"September 17, 2000",Kashima Antlers,,7,0,cross_checked,high
Korea Republic,KOR,6,MF,Hwang In-beom,Hwang,In-beom,IN-BEOM,"September 20, 1996",Feyenoord,,73,6,cross_checked,high
Korea Republic,KOR,7,FW,Son Heung-min,Son,Heung-min,HEUNG-MIN,"July 8, 1992",Los Angeles FC,,144,56,cross_checked,high
Korea Republic,KOR,8,MF,Paik Seung-ho,Paik,Seung-ho,SEUNG-HO,"March 17, 1997",Birmingham City,,27,3,cross_checked,high
Korea Republic,KOR,9,FW,Cho Gue-sung,Cho,Gue-sung,GUE-SUNG,"January 25, 1998",Midtjylland,,44,12,cross_checked,high
Korea Republic,KOR,10,MF,Lee Jae-sung,Lee,Jae-sung,JAE-SUNG,"August 10, 1992",Mainz 05,,105,15,cross_checked,high
Korea Republic,KOR,11,MF,Hwang Hee-chan,Hwang,Hee-chan,HEE-CHAN,"January 26, 1996",Wolverhampton Wanderers,,79,17,cross_checked,high
Korea Republic,KOR,12,GK,Song Bum-keun,Song,Bum-keun,BUM-KEUN,"October 15, 1997",Jeonbuk Hyundai Motors,,3,0,cross_checked,high
Korea Republic,KOR,13,DF,Lee Tae-seok,Lee,Tae-seok,TAE-SEOK,"July 28, 2002",Austria Wien,,15,1,cross_checked,high
Korea Republic,KOR,14,DF,Cho Wi-je,Cho,Wi-je,WI-JE,"August 25, 2001",Jeonbuk Hyundai Motors,,1,0,cross_checked,high
Korea Republic,KOR,15,DF,Kim Moon-hwan,Kim,Moon-hwan,MOON-HWAN,"August 1, 1995",Daejeon Hana Citizen,,35,0,cross_checked,high
Korea Republic,KOR,16,DF,Park Jin-seob,Park,Jin-seob,JIN-SEOB,"October 23, 1995",Zhejiang,,14,1,cross_checked,high
Korea Republic,KOR,17,MF,Bae Jun-ho,Bae,Jun-ho,JUN-HO,"August 21, 2003",Stoke City,,13,2,cross_checked,high
Korea Republic,KOR,18,FW,Oh Hyeon-gyu,Oh,Hyeon-gyu,HYEON-GYU,"April 12, 2001",Beşiktaş,,27,6,cross_checked,high
Korea Republic,KOR,19,MF,Lee Kang-in,Lee,Kang-in,KANG-IN,"February 19, 2001",Paris Saint-Germain,,47,11,cross_checked,high
Korea Republic,KOR,20,MF,Yang Hyun-jun,Yang,Hyun-jun,HYUN-JUN,"May 25, 2002",Celtic,,9,0,cross_checked,high
Korea Republic,KOR,21,GK,Jo Hyeon-woo,Jo,Hyeon-woo,HYEON-WOO,"September 25, 1991",Ulsan HD,,48,0,cross_checked,high
Korea Republic,KOR,22,DF,Seol Young-woo,Seol,Young-woo,YOUNG-WOO,"December 5, 1998",Red Star Belgrade,,34,0,cross_checked,high
Korea Republic,KOR,23,DF,Jens Castrop,Jens,Castrop,CASTROP,"July 29, 2003",Borussia Mönchengladbach,,7,0,cross_checked,high
Korea Republic,KOR,24,MF,Kim Jin-gyu,Kim,Jin-gyu,JIN-GYU,"February 24, 1997",Jeonbuk Hyundai Motors,,22,3,cross_checked,high
Korea Republic,KOR,25,MF,Eom Ji-sung,Eom,Ji-sung,JI-SUNG,"May 9, 2002",Swansea City,,9,2,cross_checked,high
Korea Republic,KOR,26,MF,Lee Dong-gyeong,Lee,Dong-gyeong,DONG-GYEONG,"September 20, 1997",Ulsan HD,,18,4,cross_checked,high
Bosnia & Herzegovina,BIH,1,GK,Nikola Vasilj,Nikola,Vasilj,VASILJ,"December 2, 1995",FC St. Pauli,,26,0,cross_checked,high
Bosnia & Herzegovina,BIH,2,DF,Nihad Mujakić,Nihad,Mujakić,MUJAKIĆ,"April 15, 1998",Gaziantep,,12,1,cross_checked,high
Bosnia & Herzegovina,BIH,3,DF,Dennis Hadžikadunić,Dennis,Hadžikadunić,HADŽIKADUNIĆ,"July 9, 1998",Sampdoria,,32,0,cross_checked,high
Bosnia & Herzegovina,BIH,4,DF,Tarik Muharemović,Tarik,Muharemović,MUHAREMOVIĆ,"February 28, 2003",Sassuolo,,14,1,cross_checked,high
Bosnia & Herzegovina,BIH,5,DF,Sead Kolašinac,Sead,Kolašinac,KOLAŠINAC,"June 20, 1993",Atalanta,,65,0,cross_checked,high
Bosnia & Herzegovina,BIH,6,MF,Benjamin Tahirović,Benjamin,Tahirović,TAHIROVIĆ,"March 3, 2003",Brøndby,,28,2,cross_checked,high
Bosnia & Herzegovina,BIH,7,DF,Amar Dedić,Amar,Dedić,DEDIĆ,"August 18, 2002",Benfica,,28,1,cross_checked,high
Bosnia & Herzegovina,BIH,8,MF,Armin Gigović,Armin,Gigović,GIGOVIĆ,"April 6, 2002",Young Boys,,20,1,cross_checked,high
Bosnia & Herzegovina,BIH,9,FW,Samed Baždar,Samed,Baždar,BAŽDAR,"January 31, 2004",Jagiellonia Białystok,,13,1,cross_checked,high
Bosnia & Herzegovina,BIH,10,FW,Ermedin Demirović,Ermedin,Demirović,DEMIROVIĆ,"March 25, 1998",VfB Stuttgart,,40,4,cross_checked,high
Bosnia & Herzegovina,BIH,11,FW,Edin Džeko,Edin,Džeko,DŽEKO,"March 17, 1986",Schalke 04,,148,73,cross_checked,high
Bosnia & Herzegovina,BIH,12,GK,Mladen Jurkas,Mladen,Jurkas,JURKAS,"October 7, 2007",Borac Banja Luka,,0,0,cross_checked,high
Bosnia & Herzegovina,BIH,13,MF,Ivan Bašić,Ivan,Bašić,BAŠIĆ,"April 30, 2002",Astana,,17,0,cross_checked,high
Bosnia & Herzegovina,BIH,14,MF,Ivan Šunjić,Ivan,Šunjić,ŠUNJIĆ,"October 9, 1996",Pafos,,11,0,cross_checked,high
Bosnia & Herzegovina,BIH,15,MF,Amar Memić,Amar,Memić,MEMIĆ,"January 20, 2001",Viktoria Plzeň,,13,1,cross_checked,high
Bosnia & Herzegovina,BIH,16,MF,Amir Hadžiahmetović,Amir,Hadžiahmetović,HADŽIAHMETOVIĆ,"March 8, 1997",Hull City,,36,0,cross_checked,high
Bosnia & Herzegovina,BIH,17,MF,Dženis Burnić,Dženis,Burnić,BURNIĆ,"May 22, 1998",Karlsruher SC,,20,0,cross_checked,high
Bosnia & Herzegovina,BIH,18,DF,Nikola Katić,Nikola,Katić,KATIĆ,"October 10, 1996",Schalke 04,,17,2,cross_checked,high
Bosnia & Herzegovina,BIH,19,FW,Kerim Alajbegović,Kerim,Alajbegović,ALAJBEGOVIĆ,"September 21, 2007",Red Bull Salzburg,,10,1,cross_checked,high
Bosnia & Herzegovina,BIH,20,FW,Esmir Bajraktarević,Esmir,Bajraktarević,BAJRAKTAREVIĆ,"March 10, 2005",PSV Eindhoven,,16,1,cross_checked,high
Bosnia & Herzegovina,BIH,21,DF,Stjepan Radeljić,Stjepan,Radeljić,RADELJIĆ,"September 5, 1997",Rijeka,,5,0,cross_checked,high
Bosnia & Herzegovina,BIH,22,GK,Martin Zlomislić,Martin,Zlomislić,ZLOMISLIĆ,"August 16, 1998",Rijeka,,3,0,cross_checked,high
Bosnia & Herzegovina,BIH,23,FW,Haris Tabaković,Haris,Tabaković,TABAKOVIĆ,"June 20, 1994",Borussia Mönchengladbach,,10,4,cross_checked,high
Bosnia & Herzegovina,BIH,24,DF,Arjan Malić,Arjan,Malić,MALIĆ,"August 28, 2005",Sturm Graz,,8,0,cross_checked,high
Bosnia & Herzegovina,BIH,25,FW,Jovo Lukić,Jovo,Lukić,LUKIĆ,"November 28, 1998",Universitatea Cluj,,3,0,cross_checked,high
Bosnia & Herzegovina,BIH,26,MF,Ermin Mahmić,Ermin,Mahmić,MAHMIĆ,"March 14, 2005",Slovan Liberec,,2,0,cross_checked,high
Canada,CAN,1,GK,Dayne St. Clair,Dayne St.,Clair,CLAIR,"May 9, 1997",Inter Miami CF,,20,0,cross_checked,high
Canada,CAN,2,DF,Alistair Johnston,Alistair,Johnston,JOHNSTON,"October 8, 1998",Celtic,,58,1,cross_checked,high
Canada,CAN,3,DF,Alfie Jones,Alfie,Jones,JONES,"October 7, 1997",Middlesbrough,,2,0,cross_checked,high
Canada,CAN,4,DF,Luc de Fougerolles,Luc de,Fougerolles,FOUGEROLLES,"October 12, 2005",Dender,,13,0,cross_checked,high
Canada,CAN,5,DF,Joel Waterman,Joel,Waterman,WATERMAN,"January 24, 1996",Chicago Fire FC,,17,0,cross_checked,high
Canada,CAN,6,MF,Mathieu Choinière,Mathieu,Choinière,CHOINIÈRE,"February 7, 1999",Los Angeles FC,,23,0,cross_checked,high
Canada,CAN,7,MF,Stephen Eustáquio,Stephen,Eustáquio,EUSTÁQUIO,"December 21, 1996",Los Angeles FC,,56,4,cross_checked,high
Canada,CAN,8,MF,Ismaël Koné,Ismaël,Koné,KONÉ,"June 16, 2002",Sassuolo,,40,4,cross_checked,high
Canada,CAN,9,FW,Cyle Larin,Cyle,Larin,LARIN,"April 17, 1995",Southampton,,90,30,cross_checked,high
Canada,CAN,10,FW,Jonathan David,Jonathan,David,DAVID,"January 14, 2000",Juventus,,77,39,cross_checked,high
Canada,CAN,11,MF,Liam Millar,Liam,Millar,MILLAR,"September 27, 1999",Hull City,,41,1,cross_checked,high
Canada,CAN,12,FW,Tani Oluwaseyi,Tani,Oluwaseyi,OLUWASEYI,"May 15, 2000",Villarreal,,24,2,cross_checked,high
Canada,CAN,13,DF,Derek Cornelius,Derek,Cornelius,CORNELIUS,"November 25, 1997",Rangers,,44,1,cross_checked,high
Canada,CAN,14,MF,Jacob Shaffelburg,Jacob,Shaffelburg,SHAFFELBURG,"November 26, 1999",Los Angeles FC,,31,6,cross_checked,high
Canada,CAN,15,DF,Moïse Bombito,Moïse,Bombito,BOMBITO,"March 30, 2000",Nice,,20,0,cross_checked,high
Canada,CAN,16,GK,Maxime Crépeau,Maxime,Crépeau,CRÉPEAU,"May 11, 1994",Orlando City SC,,32,0,cross_checked,high
Canada,CAN,17,FW,Tajon Buchanan,Tajon,Buchanan,BUCHANAN,"February 8, 1999",Villarreal,,60,8,cross_checked,high
Canada,CAN,18,GK,Owen Goodman,Owen,Goodman,GOODMAN,"November 27, 2003",Barnsley,,0,0,cross_checked,high
Canada,CAN,19,DF,Alphonso Davies,Alphonso,Davies,DAVIES,"November 2, 2000",Bayern Munich,,58,15,cross_checked,high
Canada,CAN,20,FW,Ali Ahmed,Ali,Ahmed,AHMED,"October 10, 2000",Norwich City,,24,1,cross_checked,high
Canada,CAN,21,MF,Jonathan Osorio,Jonathan,Osorio,OSORIO,"June 12, 1992",Toronto FC,,90,10,cross_checked,high
Canada,CAN,22,DF,Richie Laryea,Richie,Laryea,LARYEA,"January 7, 1995",Toronto FC,,75,1,cross_checked,high
Canada,CAN,23,DF,Niko Sigur,Niko,Sigur,SIGUR,"September 9, 2003",Hajduk Split,,19,2,cross_checked,high
Canada,CAN,24,FW,Promise David,Promise,David,DAVID,"July 3, 2001",Union Saint-Gilloise,,10,3,cross_checked,high
Canada,CAN,25,MF,Nathan Saliba,Nathan,Saliba,SALIBA,"February 7, 2004",Anderlecht,,15,2,cross_checked,high
Canada,CAN,26,FW,Jayden Nelson,Jayden,Nelson,NELSON,"September 26, 2002",Austin FC,,14,3,cross_checked,high
Qatar,QAT,1,GK,Mahmud Abunada,Mahmud,Abunada,ABUNADA,"February 5, 2000",Al-Rayyan,,5,0,cross_checked,high
Qatar,QAT,2,DF,Pedro Miguel,Pedro,Miguel,MIGUEL,"August 6, 1990",Al-Sadd,,99,3,cross_checked,high
Qatar,QAT,3,DF,Lucas Mendes,Lucas,Mendes,MENDES,"July 3, 1990",Al-Wakrah,,25,1,cross_checked,high
Qatar,QAT,4,DF,Issa Laye,Issa,Laye,LAYE,"December 22, 1997",Al-Arabi,,4,0,cross_checked,high
Qatar,QAT,5,DF,Jassem Gaber,Jassem,Gaber,GABER,"February 20, 2002",Al-Rayyan,,32,1,cross_checked,high
Qatar,QAT,6,MF,Abdulaziz Hatem,Abdulaziz,Hatem,HATEM,"January 1, 1990",Al-Rayyan,,117,11,cross_checked,high
Qatar,QAT,7,FW,Ahmed Alaaeldin,Ahmed,Alaaeldin,ALAAELDIN,"January 31, 1993",Al-Rayyan,,68,9,cross_checked,high
Qatar,QAT,8,FW,Edmilson Junior,Edmilson,Junior,JUNIOR,"August 19, 1994",Al-Duhail,,16,0,cross_checked,high
Qatar,QAT,9,FW,Mohammed Muntari,Mohammed,Muntari,MUNTARI,"December 20, 1993",Al-Gharafa,,67,16,cross_checked,high
Qatar,QAT,10,FW,Hassan Al-Haydos,Hassan,Al-Haydos,AL-HAYDOS,"December 11, 1990",Al-Sadd,,186,41,cross_checked,high
Qatar,QAT,11,FW,Akram Afif,Akram,Afif,AFIF,"November 18, 1996",Al-Sadd,,125,39,cross_checked,high
Qatar,QAT,12,MF,Karim Boudiaf,Karim,Boudiaf,BOUDIAF,"September 16, 1990",Al-Duhail,,118,5,cross_checked,high
Qatar,QAT,13,DF,Ayoub Al-Oui,Ayoub,Al-Oui,AL-OUI,"March 11, 2005",Al-Gharafa,,6,0,cross_checked,high
Qatar,QAT,14,DF,Homam Ahmed,Homam,Ahmed,AHMED,"August 25, 1999",Cultural Leonesa,,68,3,cross_checked,high
Qatar,QAT,15,FW,Yusuf Abdurisag,Yusuf,Abdurisag,ABDURISAG,"August 6, 1999",Al-Wakrah,,39,3,cross_checked,high
Qatar,QAT,16,DF,Boualem Khoukhi,Boualem,Khoukhi,KHOUKHI,"July 9, 1990",Al-Sadd,,116,20,cross_checked,high
Qatar,QAT,17,MF,Ahmed Al-Ganehi,Ahmed,Al-Ganehi,AL-GANEHI,"September 22, 2000",Al-Gharafa,,13,1,cross_checked,high
Qatar,QAT,18,DF,Sultan Al-Brake,Sultan,Al-Brake,AL-BRAKE,"April 7, 1996",Al-Duhail,,17,0,cross_checked,high
Qatar,QAT,19,FW,Almoez Ali,Almoez,Ali,ALI,"August 19, 1996",Al-Duhail,,115,55,cross_checked,high
Qatar,QAT,20,MF,Ahmed Fathy,Ahmed,Fathy,FATHY,"January 25, 1993",Al-Arabi,,48,0,cross_checked,high
Qatar,QAT,21,GK,Salah Zakaria,Salah,Zakaria,ZAKARIA,"April 24, 1999",Al-Duhail,,8,0,cross_checked,high
Qatar,QAT,22,GK,Meshaal Barsham,Meshaal,Barsham,BARSHAM,"February 14, 1998",Al-Sadd,,52,0,cross_checked,high
Qatar,QAT,23,MF,Assim Madibo,Assim,Madibo,MADIBO,"October 22, 1996",Al-Wakrah,,51,0,cross_checked,high
Qatar,QAT,24,FW,Tahsin Jamshid,Tahsin,Jamshid,JAMSHID,"June 16, 2006",Al-Duhail,,3,0,cross_checked,high
Qatar,QAT,25,DF,Al-Hashmi Al-Hussain,Al-Hashmi,Al-Hussain,AL-HUSSAIN,"August 15, 2003",Al-Arabi,,8,0,cross_checked,high
Qatar,QAT,26,FW,Mohamed Manai,Mohamed,Manai,MANAI,"October 25, 2002",Al-Shamal,,10,0,cross_checked,high
Switzerland,SUI,1,GK,Gregor Kobel,Gregor,Kobel,KOBEL,"December 6, 1997",Borussia Dortmund,,21,0,cross_checked,high
Switzerland,SUI,2,DF,Miro Muheim,Miro,Muheim,MUHEIM,"March 24, 1998",Hamburger SV,,10,0,cross_checked,high
Switzerland,SUI,3,DF,Silvan Widmer,Silvan,Widmer,WIDMER,"March 5, 1993",Mainz 05,,60,5,cross_checked,high
Switzerland,SUI,4,DF,Nico Elvedi,Nico,Elvedi,ELVEDI,"September 30, 1996",Borussia Mönchengladbach,,67,3,cross_checked,high
Switzerland,SUI,5,DF,Manuel Akanji,Manuel,Akanji,AKANJI,"July 19, 1995",Inter Milan,,81,4,cross_checked,high
Switzerland,SUI,6,MF,Denis Zakaria,Denis,Zakaria,ZAKARIA,"November 20, 1996",Monaco,,65,3,cross_checked,high
